City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
66,Leshukonskoye,64.8989,45.7622,61.41,91,83,3.38,RU,2022-07-14 22:12:26
67,Huarmey,-10.0681,-78.1522,64.65,76,13,13.4,PE,2022-07-14 22:12:26
68,Umiray,15.2206,121.4111,79.54,84,43,2.21,PH,2022-07-14 22:12:26
69,Dudinka,69.4058,86.1778,49.62,76,98,7.43,RU,2022-07-14 22:12:27
70,Touros,-5.1989,-35.4608,76.78,78,13,15.1,BR,2022-07-14 22:12:27
71,Norman Wells,65.282,-126.8329,57.04,58,100,10.04,CA,2022-07-14 22:12:27
72,Tromso,69.6496,18.957,51.82,93,75,2.3,NO,2022-07-14 22:12:28
73,Tigil,57.8,158.6667,68.25,64,13,4.9,RU,2022-07-14 22:12:28
74,Torbay,47.6666,-52.7314,61.75,82,61,1.01,CA,2022-07-14 22:12:28
75,Zaysan,47.4667,84.8667,57.67,44,75,8.1,KZ,2022-07-14 22:12:29
76,Teknaf,20.8624,92.3058,79.56,90,63,11.97,BD,2022-07-14 22:12:29
77,Ancud,-41.8697,-73.8203,40.69,82,29,5.26,CL,2022-07-14 22:12:29
78,Nisia Floresta,-6.0911,-35.2086,77.81,79,18,11.43,BR,2022-07-14 22:12:30
79,Prado,-17.3411,-39.2208,71.04,84,6,6.87,BR,2022-07-14 22:12:30
80,Upernavik,72.7868,-56.1549,39.61,89,16,13.53,GL,2022-07-14 22:12:30
81,Chicama,-7.8447,-79.1469,59.54,68,2,10.92,PE,2022-07-14 22:12:31
82,Gambela,8.25,34.5833,69.55,97,98,2.91,ET,2022-07-14 22:12:31
83,Lompoc,34.6391,-120.4579,90.7,72,0,14.97,US,2022-07-14 22:11:00
84,Hualmay,-11.0964,-77.6139,63.5,76,46,14.47,PE,2022-07-14 22:12:32
85,Sitka,57.0531,-135.33,62.49,55,75,10.36,US,2022-07-14 22:12:32
86,Tura,25.5198,90.2201,74.37,97,70,4.47,IN,2022-07-14 22:12:32
87,Hermanus,-34.4187,19.2345,51.8,83,11,5.08,ZA,2022-07-14 22:12:33
88,Bluff,-46.6,168.3333,38.8,80,100,16.13,NZ,2022-07-14 22:07:52
89,Yumen,40.2833,97.2,62.58,80,100,10.16,CN,2022-07-14 22:13:33
90,Karratha,-20.7377,116.8463,61.5,53,31,9.28,AU,2022-07-14 22:13:33
91,Dakar,14.6937,-17.4441,81.48,79,81,12.3,SN,2022-07-14 22:13:34
92,Victoria,22.2855,114.1577,86.18,87,75,5.01,HK,2022-07-14 22:12:36
