City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
83,Tasiilaq,GL,65.61,-37.64,50.16,80,67,5.88,broken clouds
84,Luderitz,NA,-26.65,15.16,63.55,54,1,7.09,clear sky
85,Grindavik,IS,63.84,-22.43,51.75,87,100,11.5,light intensity drizzle
86,New Norfolk,AU,-42.78,147.06,38.7,79,87,1.01,overcast clouds
87,Oranjestad,AW,12.52,-70.03,85.95,74,75,23.02,broken clouds
88,Sangar,RU,63.92,127.47,66.94,96,100,6.46,moderate rain
89,Port Elizabeth,ZA,-33.92,25.57,70.11,46,0,5.75,clear sky
90,Waddan,LY,29.16,16.14,81.37,40,0,17.94,clear sky
91,Ayagoz,KZ,47.97,80.44,64.2,69,7,9.86,clear sky
92,Boguchany,RU,58.38,97.45,55.81,87,83,7.2,broken clouds
93,Seoul,KR,37.57,126.98,74.64,91,75,3.44,mist
94,Yellowknife,CA,62.46,-114.35,66.72,72,100,18.41,overcast clouds
95,Maymyo,MM,22.03,96.47,67.35,94,100,1.34,overcast clouds
96,Bandar-E Anzali,IR,37.47,49.46,77.11,64,0,1.92,clear sky
97,Kodiak,US,57.79,-152.41,63.91,52,100,6.91,overcast clouds
98,Arraial Do Cabo,BR,-22.97,-42.03,76.96,73,0,16.11,clear sky
99,Nouadhibou,MR,20.93,-17.03,71.58,83,1,25.32,sand
100,Ilinskiy,RU,55.62,38.12,58.71,88,40,2.24,light intensity shower rain
101,Danville,US,36.59,-79.4,87.87,70,75,0.0,broken clouds
102,Yarmouth,US,41.71,-70.23,86.14,74,0,13.8,clear sky
103,Thompson,CA,55.74,-97.86,80.76,50,40,13.8,scattered clouds
104,Los Llanos De Aridane,ES,28.66,-17.92,70.12,84,0,14.97,clear sky
105,Natal,BR,-5.8,-35.21,77.65,94,75,10.36,broken clouds
106,Progreso,MX,21.28,-89.67,93.31,60,15,14.97,few clouds
107,Hilo,US,19.73,-155.09,91.27,75,75,3.44,broken clouds
108,Marshalltown,US,42.05,-92.91,84.43,54,40,5.75,scattered clouds
109,Ati,TD,13.22,18.34,78.06,74,100,12.71,overcast clouds
110,Urumqi,CN,43.8,87.6,81.55,23,0,11.18,clear sky
111,Rio Grande,BR,-32.03,-52.1,55.51,68,0,9.89,clear sky
112,Santa Cruz,BO,-17.8,-63.17,59.05,72,75,6.91,broken clouds
113,Hobyo,SO,5.35,48.53,76.1,81,95,30.89,overcast clouds
114,Trinidad,BO,-14.83,-64.9,78.62,50,39,6.29,scattered clouds
115,Beringovskiy,RU,63.05,179.32,45.34,55,11,27.11,few clouds
116,Katobu,ID,-4.94,122.53,73.2,90,97,4.32,overcast clouds
117,Burley,US,42.54,-113.79,91.29,29,0,5.75,clear sky
118,Geraldton,AU,-28.77,114.6,54.01,100,75,5.75,broken clouds
119,Panguna,PG,-6.32,155.48,70.45,94,54,2.37,light rain
120,Ouallam,NE,14.32,2.09,88.11,50,98,10.4,light rain
121,Kruisfontein,ZA,-34.0,24.73,69.89,25,2,20.54,clear sky
122,Esperance,AU,-33.87,121.9,53.02,94,100,11.32,light rain
123,Mount Isa,AU,-20.73,139.5,46.17,81,1,0.0,clear sky
124,San Cristobal,VE,7.77,-72.22,80.78,60,47,5.82,scattered clouds
125,Margate,GB,51.38,1.39,69.12,67,43,1.01,scattered clouds
126,Takaka,NZ,-40.85,172.8,56.55,84,88,12.01,overcast clouds
127,Vila Velha,BR,-20.33,-40.29,76.95,82,0,12.66,clear sky
128,Capreol,CA,46.71,-80.92,82.87,44,75,6.91,broken clouds
129,Mar Del Plata,AR,-38.0,-57.56,57.22,44,0,19.57,clear sky
130,Talas,TR,38.69,35.55,66.87,64,40,5.75,scattered clouds
131,Nisia Floresta,BR,-6.09,-35.21,77.38,82,80,11.7,broken clouds
132,Takoradi,GH,4.88,-1.76,74.95,80,57,8.66,broken clouds
133,Zyryanka,RU,65.75,150.85,56.55,50,64,2.93,broken clouds
134,Ouango,CF,4.31,22.56,70.05,98,89,2.59,light rain
135,Qaanaaq,GL,77.48,-69.36,46.69,61,100,4.05,overcast clouds
136,Komsomolskiy,UZ,40.43,71.72,81.32,34,0,9.22,clear sky
137,Guerrero Negro,MX,27.98,-114.06,81.23,47,1,13.49,clear sky
138,Sabinas Hidalgo,MX,26.5,-100.17,103.55,17,1,16.51,clear sky
139,Airai,TL,-8.93,125.41,52.93,87,39,3.6,scattered clouds
140,Zhezkazgan,KZ,47.8,67.71,75.96,47,0,7.56,clear sky
141,Rahuri,IN,19.38,74.65,75.6,82,98,9.78,overcast clouds
142,Cape Town,ZA,-33.93,18.42,58.26,88,40,9.22,scattered clouds
143,Muhos,FI,64.81,25.99,56.98,98,61,4.7,broken clouds
144,Poum,NC,-20.23,164.02,73.87,72,0,17.67,clear sky
145,Guiyang,CN,26.58,106.72,72.09,94,100,8.95,thunderstorm
146,Hailey,US,43.52,-114.32,91.89,16,83,15.64,broken clouds
147,Kisangani,CD,0.52,25.2,71.91,97,100,2.33,moderate rain
148,Dera Bugti,PK,29.03,69.15,83.01,72,40,6.51,scattered clouds
149,Amga,RU,60.9,131.96,71.2,70,6,2.44,clear sky
150,Cidreira,BR,-30.18,-50.21,53.69,71,22,9.64,few clouds
151,Ribeira Grande,PT,38.52,-28.7,73.8,88,20,17.27,few clouds
152,Koungheul,SN,13.98,-14.8,87.89,48,99,15.5,overcast clouds
153,Bay Roberts,CA,47.6,-53.26,71.35,60,100,11.45,overcast clouds
154,Werder,DE,52.38,12.93,68.09,37,100,3.22,overcast clouds
155,Asau,RO,46.43,26.4,65.32,65,24,3.47,few clouds
156,Pisco,PE,-13.7,-76.22,66.25,68,3,6.91,haze
157,Maniitsoq,GL,65.42,-52.9,42.84,95,100,17.54,light rain
158,Lompoc,US,34.64,-120.46,81.84,69,0,16.11,clear sky
159,Sechura,PE,-5.56,-80.82,74.3,58,6,15.84,clear sky
160,Portel,BR,-1.94,-50.82,84.38,65,58,2.77,broken clouds
161,Braganca,BR,-1.05,-46.77,76.95,89,97,2.98,overcast clouds
162,Carutapera,BR,-1.2,-46.02,79.86,78,67,7.99,broken clouds
163,Ammon,US,43.47,-111.97,93.25,20,0,8.05,clear sky
164,Port Lincoln,AU,-34.73,135.87,52.25,69,100,7.27,overcast clouds
165,Atar,MR,20.52,-13.05,100.92,11,30,6.02,scattered clouds
166,Ishigaki,JP,24.34,124.16,84.33,94,75,18.41,broken clouds
167,Bagdarin,RU,54.43,113.6,52.95,96,97,1.7,overcast clouds
168,Tucuma,BR,-0.18,-50.05,81.55,78,61,6.67,broken clouds
169,Torbay,CA,47.67,-52.73,70.57,76,100,5.75,overcast clouds
170,Miles City,US,46.41,-105.84,103.17,15,0,10.36,clear sky
171,Saint-Philippe,RE,-21.36,55.77,69.39,75,68,15.08,broken clouds
172,Fukue,JP,32.69,128.84,79.86,90,100,16.71,heavy intensity rain
173,Sioux Lookout,CA,50.1,-91.92,86.07,48,75,12.66,broken clouds
174,Odesskoye,RU,54.21,72.97,57.79,73,56,7.14,broken clouds
175,Cotonou,BJ,6.37,2.42,76.44,84,21,12.03,few clouds
176,Fairbanks,US,64.84,-147.72,65.08,63,40,1.01,light rain
177,Inhambane,MZ,-23.86,35.38,66.92,90,4,6.22,clear sky
178,Aasiaat,GL,68.71,-52.87,40.3,85,53,6.15,broken clouds
179,Dingle,PH,11.0,122.67,74.75,93,100,1.9,light rain
180,Tuktoyaktuk,CA,69.45,-133.04,62.6,72,40,10.36,scattered clouds
181,Sampit,ID,-2.53,112.95,70.84,96,100,2.24,overcast clouds
182,Puerto Baquerizo Moreno,EC,-0.9,-89.6,69.15,79,32,14.25,scattered clouds
183,Sao Joao Da Barra,BR,-21.64,-41.05,78.89,85,100,20.04,overcast clouds
184,Swakopmund,NA,-22.68,14.53,63.99,68,21,3.0,few clouds
185,Jiangyou,CN,31.77,104.72,75.0,80,100,0.65,overcast clouds
186,Constitucion,CL,-35.33,-72.42,50.95,94,100,6.42,light rain
187,Nanortalik,GL,60.14,-45.24,43.3,86,99,13.22,overcast clouds
188,Kieta,PG,-6.22,155.63,79.34,86,69,5.7,light rain
189,Saint George,US,37.1,-113.58,103.78,19,0,12.66,clear sky
190,Kongolo,CD,-5.38,27.0,81.01,42,95,3.76,overcast clouds
191,Vanimo,PG,-2.67,141.3,75.85,87,100,2.66,light rain
192,Ciudad Bolivar,VE,8.12,-63.55,88.68,59,78,5.44,broken clouds
193,Buraydah,SA,26.33,43.98,91.85,11,13,9.06,few clouds
194,Necochea,AR,-38.55,-58.74,53.64,42,41,19.53,scattered clouds
195,Bengkulu,ID,-3.8,102.27,75.31,88,54,4.21,broken clouds
196,Lachi,PK,33.38,71.34,88.18,56,16,5.73,few clouds
197,Palana,RU,59.12,159.97,49.69,94,100,20.49,overcast clouds
198,Hithadhoo,MV,-0.6,73.08,77.36,84,100,20.49,overcast clouds
199,Bathsheba,BB,13.22,-59.52,86.61,82,20,24.16,few clouds
200,Barrow,US,71.29,-156.79,37.42,87,100,18.41,overcast clouds
201,Santa Maria,BR,-29.68,-53.81,51.1,66,100,2.3,overcast clouds
202,Miedzyrzecz,PL,52.44,15.58,62.24,58,19,4.07,few clouds
203,Cherskiy,RU,68.75,161.3,39.09,54,98,16.33,overcast clouds
204,Chuy,UY,-33.7,-53.46,46.06,78,0,6.71,clear sky
205,Krasnaya Gora,RU,53.0,31.6,54.45,92,98,5.06,light rain
206,Antalaha,MG,-14.9,50.28,68.54,85,76,10.69,light rain
207,Bjornevatn,NO,69.67,29.98,57.54,94,75,5.75,light rain
208,Filadelfia,US,39.95,-75.16,88.27,65,100,11.5,overcast clouds
209,Umm Lajj,SA,25.02,37.27,85.59,54,63,7.27,broken clouds
210,Altay,CN,47.87,88.12,65.07,50,62,5.82,broken clouds
211,Jian,CN,27.12,114.98,78.76,90,100,2.21,moderate rain
212,Kayerkan,RU,69.35,87.76,51.53,76,62,3.2,broken clouds
213,Tessalit,ML,20.2,1.01,90.7,32,100,7.87,overcast clouds
214,Pokaran,IN,26.92,71.92,87.28,67,100,6.15,overcast clouds
215,Rosamorada,MX,22.12,-105.21,92.93,53,59,6.58,broken clouds
216,Olafsvik,IS,64.89,-23.71,51.04,84,93,5.1,overcast clouds
217,Wick,GB,58.43,-3.08,57.25,94,20,3.44,few clouds
218,Alofi,NU,-19.06,-169.92,76.89,78,40,11.5,scattered clouds
219,Lebu,CL,-37.62,-73.65,49.42,81,29,14.7,scattered clouds
220,Korla,CN,41.76,86.15,76.17,29,0,5.08,clear sky
221,Cayenne,GF,4.93,-52.33,86.04,9,37,9.22,scattered clouds
222,Yeniseysk,RU,58.45,92.17,55.71,99,100,9.15,heavy intensity rain
223,Dunedin,NZ,-45.87,170.5,54.27,68,100,11.5,overcast clouds
224,Orda,RU,57.2,56.91,60.35,79,27,1.57,scattered clouds
225,Qobustan,AZ,40.08,49.41,83.01,52,0,12.19,clear sky
226,Edremit,TR,39.6,27.02,78.55,50,0,19.57,clear sky
227,Kaeo,NZ,-35.1,173.78,49.32,95,100,6.11,overcast clouds
